id,module,difficulty,category,mutator,note,runs_ok,matched,error,variant_sql,gold_sql
1,EWB,simple,aggregation,table-swap,table tbl_ewb_parta_ewb->mst_state_jurisdiction_code,1,0,,SELECT COUNT(*) AS n FROM common.mst_state_jurisdiction_code;,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb;
1,EWB,simple,aggregation,table-swap,table tbl_ewb_parta_ewb->tbl_gst_rtn_r3b_itc_elg_itc_inelg,1,0,,SELECT COUNT(*) AS n FROM public.tbl_gst_rtn_r3b_itc_elg_itc_inelg;,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb;
2,EWB,simple,aggregation,column-swap,col assval->otherval,1,0,,SELECT SUM(otherval) AS v FROM public.tbl_ewb_parta_ewb;,SELECT SUM(assval) AS v FROM public.tbl_ewb_parta_ewb;
3,EWB,simple,domain_specific,column-swap,col igstval->idtbl_ewb_parta,1,0,,SELECT SUM(idtbl_ewb_parta) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;
3,EWB,simple,domain_specific,column-swap,col frstat->shiptostat,1,0,,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE shiptostat <> tostat;,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;
3,EWB,simple,domain_specific,column-swap,col tostat->ssuptyp,1,1,,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> ssuptyp;,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;
3,EWB,simple,domain_specific,filter-drop,drop WHERE,1,1,,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;
4,EWB,simple,filtering,column-swap,col status->docno,1,0,,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE docno = 'CNL';,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';
4,EWB,simple,filtering,filter-drop,drop WHERE,1,0,,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';
5,EWB,simple,domain_specific,column-swap,col cgstval->igstval,1,0,,SELECT SUM(igstval + sgstval + igstval) AS v FROM public.tbl_ewb_parta_ewb;,SELECT SUM(cgstval + sgstval + igstval) AS v FROM public.tbl_ewb_parta_ewb;
